ID_W,WAVE OF SURVEY=YEAR
IDIND,UNIQUE LONGITUDINAL PERSON ID
YEAR,YEAR
REDID_I,RESPONDENT`S ID: ORDINAL NUMBER
ID_I,PERSON ID NUMBER - unique for the given round
ID_H,HOUSEHOLD  ID NUMBER - unique for the given round
ORIGSM,REPRESENTATIVE SAMPLE
INWGT,SAMPLE WEIGHT OF INDIVIDUAL
STATUS,STATUS
POPUL,POPULATION
INT_Y,INTERVIEW YEAR
ADULT,RESPONDENT HAS ADULT FILE
CHILD,RESPONDENT HAS CHILD FILE
MARST,MARITAL STATUS
OCCUP08,PROFESSIONAL GROUP BY ISCO2008
EDUC,EDUCATION (DETAIL): OVER 14 YEARS
DIPLOM,COMPLETED EDUCATION (GROUP)
DIPLOM_1,MOST LIKELY OF EDUCATION COMPLETED (GROUP)
SITE,SITE--COV
H3,FAMILY ID NUMBER--COV
H4,PERSON NUMBER--COV
H4.1,PARTICIPATED IN THE SURVEY:
H4.1_Y,LAST YEAR OF RESP. PARTICIPATED IN 1994_1995_1996_..._2018 SURVEYS?--COV
H5,RESPONDENT GENDER--COV
H6,RESPONDENT`S BIRTH YEAR
H7.1,INTERVIEW DAY--COV
H7.2,INTERVIEW MONTH--COV
H7.1_L,"DATE OF THE INTERVIEW QUESTIONNAIRE ""MEDICINE"": DAY"
H7.2_L,"DATE OF THE INTERVIEW QUESTIONNAIRE ""MEDICINE"": MONTH"
H8A,INTERVIEW LENGTH (HOURS)--COV
H8B,INTERVIEW LENGTH (MINUTES)--COV
H8A_L,"LENGTH OF INTERVIEW QUESTIONNAIRE ""MEDICINE"": HOURS AND MINUTES (HOURS)"
H8B_L,"LENGTH OF INTERVIEW QUESTIONNAIRE ""MEDICINE"": HOURS AND MINUTES (MINUTES)"
BORN_M,CHILD`S BORN MONTH
AGE,NUMBER OF FULL YEARS
I1,BORN IN ANOTHER POPULATION CENTER?
I2,REPUBLIC OF BIRTH
I3,BIRTHQLACE A CITY_TOWN_VILLAGE
I3.1,LIVED ELSEWHERE SINCE AGE 14?
I4,NATIONALITY CONSIDERS SELF
I5,PRIMARY LANGUAGE IN HOME
I6,LANGUAGE SPOKEN IN HOME AS CHILD
I7,SINCE # YEAR LIVE IN THIS PLACE
I8,SINCE # YEAR ESTABLISH PERMANENT RESIDENCE IN RF
J1,CURRENT WORK STATUS1
J1.1.1,SATISFACTION WITH JOB
J1.1.2,SATISFACTION W_WORK CONTRACT
J1.1.3,SATISFACTION WITH PAY
J1.1.4,SATISFACTION WITH GROWTH OPP
J1.1.5,SATISFACTION WITH LIFE
J1.1.6,SATISFACTION WITH LENGTH OF WORKDAY
J1.1.7,SATISFACTION WITH BENEFITS
J1.1.8,SATISFACTION WITH ACCORDANCE OF WORK AND Q.LEVEL
J1.1.9,SATISFACTION WITH SCHEDULE
J2COD08,ILO 2008 CODE--JOB 1
J4.2,LEVEL OF EDUCATION NEEDED
J4.3,PROPOTION OF YOUR KNOWLEDGE AND EXPERIENCE IS USED
J4.1,INDUSTRY--JOB 1
J5A,YEAR STARTED--JOB 1
J5B,MONTH STARTED--JOB 1
J5.2,WAY OF FINDIND THE JOB--JOB 1
J6,SUBORDINATES?--JOB 1
J6.0,NUMBER OF SUBORDINATES--JOB 1
J6.1,HOURS IN AVERAGE--USUAL WORKDAY LAST
J6.1A,HRS IN AVERAGE WORKDAY--JOB 1
J6.1B,MIN. IN AVERAGE WORKDAY--JOB 1
J6.2,HRS IN AVERAGE WORKWEEK--JOB 1
J6.2A,HRS HEAVY PHYSICAL WORK--JOB 1
J6.3,HRS MEDIUM PHYSICAL WORK--JOB 1
J6.4,HRS LIGHT PHYSICAL WORK--JOB 1
J6.5A,HRS HEAVY PHYSICAL WORK--JOB 1
J6.5B,MIN. HEAVY PHYSICAL WORK--JOB 1
J6.6A,HRS MEDIUM PHYSICAL WORK--JOB 1
J6.6B,MIN. MEDIUM PHYSICAL WORK--JOB 1
J6.7A,HOURS_DAY WALKING--JOB 1
J6.7B,MINUTES_DAY WALKING--JOB 1
J6.8A,HOURS_DAY STANDING--JOB 1
J6.8B,MINUTES_DAY STANDING--JOB 1
J6.9A,HOURS_DAY SITTING--JOB 1
J6.9B,MINUTES_DAY SITTING--JOB 1
J7,WORKED IN LAST 30 DAYS?--JOB 1
J7.1,DAYS WORKED LAST 30D--JOB 1
J8,HOURS WORKED LAST 30 DAYS--JOB 1
J8.1,WORKED AT HOME IN LAST 30 DAYS?--JOB 1
J8.2,HOURS WORKED AT HOME LAST 30 DAYS--JOB 1
J8.3,INCLUDE IN TOTAL DURATION?--JOB 1
J9,WAGES LAST 30 DAYS?--JOB 1
J10,AFTER-TAX WAGES LAST 30D--JOB 1
J10.1,% OF MONEY OFFICIALLY REGISTERED
J10.3,DO YOU THINK THAT ALL THE MONEY HAD BEEN TRANSFERRED OFFICIALLY?--JOB 1
J10.2,BONUS AMOUNT LAST 30 DAYS?--JOB 1
J11,ENTERPRISE ETC--JOB 1
J11.1,OFFICIALLY EMQLOYED?--JOB 1
J11.2,REASON NOT OFF. EMQL.--JOB 1
J13,# EMQLOYEES IN ENTERPRISE--JOB 1
J13.1,YEAR ENTERPR ESTABLISHED--JOB 1
J13.2,AMT MONTHLY PAY ON TIME--JOB 1
J14,OWED MONEY BY WORKPLACE?--JOB 1
J15,AMOUNT OWED BY WORKPLACE--JOB 1
J16,MONTHS OWED BY WORKPLACE--JOB 1
J17,GOODS AS PAYMENT LAST 30D?--JOB 1
J18,VALUE OF GOODS AS PAYMENT--JOB 1
J18.1,REALIZED GOODS AS PAYMNT--JOB 1
J18.2,SALARY_HOURS TOO LOW?--JOB 1
J19,COMPULSORY UNPAID LEAVE?--JOB 1
J20A,YEAR LAST SENT ON LEAVE--JOB 1
J20B,MONTH LAST SENT ON LEAVE--JOB 1
J20C,DAY LAST SENT ON LEAVE--JOB 1
J21,DAYS ON UNPAID LEAVE--JOB 1
J21A,PAID VACATION LAST 12M?--JOB 1
J21B,# OF DAYS ON PAID VACATION--JOB 1
J21.1.1,PAID VACATION?--JOB 1
J21.1.2,SICK LEAVE?--JOB 1
J21.1.3,PREGNANCY LEAVE?--JOB 1
J21.1.4,MEDICAL TREATMENT?--JOB 1
J21.1.5,SANATORIA?--JOB 1
J21.1.6,CHILD CARE?--JOB 1
J21.1.7,FREE FOOD?--JOB 1
J21.1.8,TRANSPORT GRANT?--JOB 1
J21.1.9,PAID EDUCATION?--JOB 1
J211.10,GRANTING LOANS?--JOB 1
J211.12,"GRANTING OF LOANS, CREDIT FOR HOUSE BUILDING OR REPAIR, DISCOUNTS ON BUILDING SUPPLIES--JOB 1"
J211.11,SUBSIDIZED RENT?--JOB 1
J21.2A,"RETIREMENT AGE, MEN--JOB 1"
J21.2B,"RETIREMENT AGE, WOMEN--JOB 1"
J21.3,WORK IS HARMFUL (UNHEALTHY) OR DANGEROUS--JOB 1
J21.4,CONT. DANGER. JOB AFTER L.O.S.?
J23,ENT. OWNER--GOVERNMENT?--JOB 1
J24,ENT. OWNER--FOREIGN FIRMS?--JOB 1
J25,ENT. OWNER--RUSSIAN FIRMS?--JOB 1
J26,(CO)OWNER OF ENTERPRISE?--JOB 1
J27,WORKS AT OWN ENTERPRISE?--JOB 1
J28,PERCENT RESPONDENT OWNS--JOB 1
J29,ENTREPRENEURIAL ACTIVITY?--JOB 1
J308,WHEN WAS THE ENTERPRISE ESTABLISHED?--JOB 1
J309,OWNERSHIP OF THE ENTERPRISE CHANGED?--JOB 1
J22,CONFIDENCE FIND JOB IF LAID OFF
J29.0,AT JOB 1
J310,HOW POSSIBLE TO FIND EQUALLY GOOD WORK?
J311,HOW LIKELY TO LOSE JOB DURING NEXT 12M?
J312,HOW LIKELY TO LOSE JOB DURING NEXT 3M?
J31,CONCERN ABOUT CHANCE OF JOB LOSS
J29.1,CHANGED JOBS SINCE NOV LAST YEAR?
J29A,EMPLOYEE_INDIVIDUAL?--JOB 1
J29B,WAGE WORKERS HIRED?--JOB 1
J29C.1,TRUST THE LEADERSHIP OF YOUR ENTERPRISE
J29C.2,TRUST YOUR COLLEAGUES
J33COD08,ILO 2008 CODE--EXTRA JOB
J35.1,INDUSTRY--JOB 2
J35.2Y,YEAR OF STARTING WORK AT ENTERPRISE?
J35.2M,MONTH OF STARTING WORK AT ENTERPRISE?
J36,SUBORDINATES?--JOB 2
J36.1,HRS IN AVERAGE WORKDAY--JOB 2
J36.1A,HRS IN AVERAGE WORKDAY--JOB 2
J36.1B,MIN. IN AVERAGE WORKDAY--JOB 2
J36.2,HRS IN AVERAGE WORKWEEK--JOB 2
J36.2A,HRS HEAVY PHYSICAL WORK--JOB 2-
J36.3,HRS MEDIUM PHYSICAL WORK--JOB 2
J36.4,HRS LIGHT PHYSICAL WORK--JOB 2
J36.5A,HRS HEAVY PHYSICAL WORK--JOB 2
J36.5B,MIN. HEAVY PHYSICAL WORK--JOB 2
J36.6A,HRS MEDIUM PHYSICAL WORK--JOB 2
J36.6B,MIN. MEDIUM PHYSICAL WORK--JOB 2
J36.7A,HOURS_DAY WALKING--JOB 2
J36.7B,MINUTES_DAY WALKING--JOB 2
J36.8A,HOURS_DAY STANDING--JOB 2
J36.8B,MINUTES_DAY STANDING--JOB 2
J36.9A,HOURS_DAY SITTING--JOB 2
J36.9B,MINUTES_DAY SITTING--JOB 2
J37,WORKED IN LAST 30 DAYS?--JOB 2
J38,HOURS WORKED LAST 30 DAYS--JOB 2
J39,WAGES LAST 30 DAYS?--JOB 2
J40,AFTER-TAX WAGES LAST 30D--JOB 2
J41,ENTERPRISE_ETC.?--JOB 2
J41.1,OFFICIALLY EMPLOYED?--JOB 2
J41.2,REASON NOT OFF. EMPL.--JOB 2
J313,WHEN WAS THE ENTERPRISE ESTABLISHED?--JOB 2
J314,OWNERSHIP OF THE ENTERPRISE CHANGED?--JOB 2
J43,# EMPLOYEES IN ENTERPRISE--JOB 2
J44,OWED MONEY BY WORKPLACE?--JOB 2
J45,AMOUNT OWED BY WORKPLACE--JOB 2
J46,MONTHS OWED BY WORKPLACE--JOB 2
J47,GOODS AS PAYMENT LAST 30D?--JOB 2
J48,VALUE OF GOODS AS PAYMENT--JOB 2
J48.1,REALIZED GOODS AS PAYMNT--JOB 2
